Days;Sleep Time;Waking Time;Sleep quality;Caffeine mg.;Screen Time Total;App 1 Name ;App 1 Time ;App 2 Name ;App 2 Time ;App 3 Name ;App 3 Time ;Category 1 name  ;Category 1 Time ;Category 2 name ;Category 2 Time ;Category 3 name ;Category 3 time;Studying Time ;Studying Efficiency ;Studying Place
31.10.2025;23:55;09:20;8;200;14:29;TikTok;02:08;WhatsApp;01:00;Netflix;00:51;Social;03:28;Productivity & Finance;02:11;Entertainment;00:55;03:16;7;in my room
1.11.2025;00:59;10:30;8;100;14:06;TikTok;01:59;Netflix;01:31;WhatsApp;01:17;Social;03:48;Entertainment;01:33;Games;00:48;03:39;8;in my room
2.11.2025;00:23;09:45;8;230;13:35;Chrome ;01:35;Netflix;01:24;TikTok;01:10;Social;02:41;Entertainment;01:51;Productivity & Finance ;01:40;04:45;9;ic
3.11.2025;01:30;07:39;6;250;15:03;Preview;02:25;Chrome;02:05;WhatsApp;01:53;Productivity & Finance ;04:55;Social;03:48;Entertainment ;00:38;04:16;7;SL & room 
4.11.2025;00:30;09:25;9;100;11:51;WhatsApp;02:16;TikTok;01:10;Preview;00:53;Social;04:20;Productivity & Finance;01:55;Games;00:41;01:05;5;in my room
5.11.2025;00:21;09:00;10;200;11:28;Preview;03:06;WhatsApp;02:35;Chrome;01:06;Productivity & Finance ;04:49;Social;03:19;Games;00:14;05:32;9;ic
6.11.2025;02:30;09:00;6;200;13:46;Preview;03:09;Chrome;01:57;WhatsApp;01:51;Productivity & Finance ;05:26;Social;03:19;Games;01:17;04:36;7;in my room
7.11.2025;01:30;08:00;8;250;13:55;Chrome ;02:43;Preview;02:38;WhatsApp;01:25;Productivity & Finance ;05:30;Social;02:34;Games;00:50;05:25;8;ic
8.11.2025;01:30;09:00;9;310;14:19;Chrome ;02:01;Preview;01:05;WhatsApp;01:01;Productivity & Finance ;03:08;Social;02:18;Games;00:41;09:30;10;ic
9.11.2025;03:00;08:30;7;235;08:08;WhatsApp;01:39;TikTok;01:26;Chrome;01:08;Social;03:38;Productivity & Finance;02:08;Other ;00:23;0;-1;-1
10.11.2025;01:30;09:30;10;0;11:35;Digital-java;03:01;TikTok;01:57;WhatsApp;01:30;Other;04:13;Social;03:57;Productivity & Finance ;02:30;0;-1;-1
11.11.2025;01:37;05:45;6;-1;09:15;WhatsApp;02:19;Chrome;01:24;TikTok;01:08;Social;03:51;Productivity & Finance;02:36;Travel ;00:10;01:00;5;in my room
12.11.2025;00:53;09:00;9;250;16:43;Preview;05:18;Notability ;03:44;Chrome;01:44;Productivity & Finance ;10:58;Social;02:59;Entertainment;00:05;08:00;9;ic
13.11.2025;02:50;09:00;10;325;13:30;Notability ;01:59;Preview;01:45;WhatsApp;01:43;Productivity & Finance ;05:59;Social;03:40;Other ;00:16;04:00;6;ic
14.11.2025;01:30;08:40;6;475;16:31;Notability ;06:03;Chrome;02:52;WhatsApp;01:54;Productivity & Finance ;09:49;Social;02:35;Other ;00:16;05:10;8;ic
15.11.2025;03:30;09:45;6;375;10:52;WhatsApp;02:08;Chrome;01:31;Clion ;01:17;Productivity & Finance ;04:24;Social;02:49;Entertainment;00:14;07:15;9;ic
16.11.2025;01:37;09:25;7;275;12:30;Chrome ;02:57;WhatsApp;02:22;Clion ;02:12;Productivity & Finance ;06:35;Social;03:42;Entertainment;00:20;05:30;7;ic&room
17.11.2025;02:37;07:50;8;275;17:09;Clion;05:29;WhatsApp;02:26;Chrome;02:16;Productivity & Finance ;08:37;Social;04:13;Shopping & Food ;00:23;07:00;8;in my room
18.11.2025;01:30;09:20;8;250;14:33;Notability ;02:58;PowerPoint ;02:14;WhatsApp;01:58;Productivity & Finance ;07:10;Social;04:17;Entertainment;00:26;03:48;7;SL  
19.11.2025;01:30;08:45;8;475;20:33;Notability ;06:44;PowerPoint ;03:42;WhatsApp;02:12;Productivity & Finance ;11:49;Social;03:25;Entertainment;00:17;07:18;10;ic
20.11.2025;02:20;09:00;7;325;20:54;Notability ;05:46;PowerPoint ;03:57;WhatsApp;02:10;Productivity & Finance ;12:17;Social;03:54;Entertainment;00:08;06:11;8;ic
21.11.2025;02:45;08:45;6;225;16:44;Preview;05:05;WhatsApp;02:17;Chrome;01:33;Productivity & Finance ;10:03;Social;04:15;Other ;00:03;07:56;9;SL 
22.11.2025;01:30;09:10;7;150;07:18;PowerPoint;01:12;Preview;01:02;WhatsApp;00:51;Productivity & Finance ;03:14;Social;02:02;Travel ;00:16;01:50;5;SL 
23.11.2025;02:30;12:00;10;75;06:00;Chrome ;01:21;Instagram ;01:03;Voice Memos ;01:00;Social;02:33;Productivity & Finance;01:23;Utilities ;01:00;02:00;8;ic
24.11.2025;02:00;07:40;6;175;15:12;Chrome ;04:31;WhatsApp;02:14;TikTok;01:35;Productivity & Finance ;06:42;Social ;04:51;Travel ;00:37;04:15;6;ic&room
25.11.2025;01:30;09:00;9;100;11:51;Chrome ;02:30;Vs Code ;02:21;WhatsApp;02:03;Productivity & Finance ;06:34;Social ;03:39;Travel ;00:19;05:30;10;everywhere 
26.11.2025;02:35;10:00;10;190;10:39;WhatsApp;02:34;Chrome;01:35;TikTok;00:56;Social;03:59;Productivity & Finance;03:04;Shopping & Food ;00:53;03:56;6;ic&room
27.11.2025;02:10;09:20;8;;;;;;;;;;;;;;;;;
28.11.2015;;;;;;;;;;;;;;;;;;;;
29.11.2025;;;;;;;;;;;;;;;;;;;;
